1,1,2021,3300,2021-01-31,TBS Luar,Jan
2,2,2021,3100,2021-02-28,TBS Luar,Feb
3,3,2021,3400,2021-03-31,TBS Luar,Mar
4,4,2021,3500,2021-04-30,TBS Luar,Apr
5,5,2021,3100,2021-05-31,TBS Luar,May
6,6,2021,3500,2021-06-30,TBS Luar,Jun
7,7,2021,3900,2021-07-31,TBS Luar,Jul
8,8,2021,3900,2021-08-31,TBS Luar,Aug
9,9,2021,3800,2021-09-30,TBS Luar,Sep
10,10,2021,4000,2021-10-31,TBS Luar,Oct
11,11,2021,3900,2021-11-30,TBS Luar,Nov
12,12,2021,3600,2021-12-31,TBS Luar,Dec
13,1,2022,3000,2022-01-31,TBS Luar,Jan
14,2,2022,2800,2022-02-28,TBS Luar,Feb
15,3,2022,3000,2022-03-31,TBS Luar,Mar
16,4,2022,2900,2022-04-30,TBS Luar,Apr
17,5,2022,2800,2022-05-31,TBS Luar,May
18,6,2022,2900,2022-06-30,TBS Luar,Jun
19,7,2022,3000,2022-07-31,TBS Luar,Jul
20,8,2022,3000,2022-08-31,TBS Luar,Aug
21,9,2022,2900,2022-09-30,TBS Luar,Sep
22,10,2022,3000,2022-10-31,TBS Luar,Oct
23,11,2022,2900,2022-11-30,TBS Luar,Nov
24,12,2022,2800,2022-12-31,TBS Luar,Dec
25,1,2023,4900,2023-01-31,TBS Luar,Jan
26,2,2023,4900,2023-02-28,TBS Luar,Feb
27,3,2023,5400,2023-03-31,TBS Luar,Mar
28,4,2023,4700,2023-04-30,TBS Luar,Apr
29,5,2023,5200,2023-05-31,TBS Luar,May
30,6,2023,5200,2023-06-30,TBS Luar,Jun
31,7,2023,5600,2023-07-31,TBS Luar,Jul
32,8,2023,5600,2023-08-31,TBS Luar,Aug
33,9,2023,5600,2023-09-30,TBS Luar,Sep
34,10,2023,5600,2023-10-31,TBS Luar,Oct
35,11,2023,5400,2023-11-30,TBS Luar,Nov
36,12,2023,5000,2023-12-31,TBS Luar,Dec
37,1,2024,3600,2024-01-31,TBS Luar,Jan
38,2,2024,3600,2024-02-29,TBS Luar,Feb
39,3,2024,5600,2024-03-31,TBS Luar,Mar
40,4,2024,5600,2024-04-30,TBS Luar,Apr
41,5,2024,5400,2024-05-31,TBS Luar,May
42,6,2024,5100,2024-06-30,TBS Luar,Jun
43,7,2024,5300,2024-07-31,TBS Luar,Jul
44,8,2024,5500,2024-08-31,TBS Luar,Aug
45,9,2024,5300,2024-09-30,TBS Luar,Sep
46,10,2024,5200,2024-10-31,TBS Luar,Oct
47,11,2024,5200,2024-11-30,TBS Luar,Nov
48,12,2024,4600,2024-12-31,TBS Luar,Dec
49,1,2025,3100,2025-01-31,TBS Luar,Jan
50,2,2025,3100,2025-02-28,TBS Luar,Feb
51,3,2025,4600,2025-03-31,TBS Luar,Mar
52,4,2025,4600,2025-04-30,TBS Luar,Apr
53,5,2025,4400,2025-05-31,TBS Luar,May
54,6,2025,4100,2025-06-30,TBS Luar,Jun
55,7,2025,4300,2025-07-31,TBS Luar,Jul
56,8,2025,4500,2025-08-31,TBS Luar,Aug
57,9,2025,4300,2025-09-30,TBS Luar,Sep
58,10,2025,4200,2025-10-31,TBS Luar,Oct
59,11,2025,4700,2025-11-30,TBS Luar,Nov
60,12,2025,4100,2025-12-31,TBS Luar,Dec
