1,26,2019,2019-01-31 00:00:00,1,Jan
2,23,2019,2019-02-28,2,Feb
3,25,2019,2019-03-31,3,Mar
4,24,2019,2019-04-30,4,Apr
5,25,2019,2019-05-31,5,May
6,22,2019,2019-06-30,6,Jun
7,27,2019,2019-07-31,7,Jul
8,26,2019,2019-08-31,8,Aug
9,25,2019,2019-09-30,9,Sep
10,27,2019,2019-10-31,10,Oct
11,25,2019,2019-11-30,11,Nov
12,25,2019,2019-12-31,12,Dec
13,25,2020,2020-01-31,1,Jan
14,25,2020,2020-02-29,2,Feb
15,25,2020,2020-03-31,3,Mar
16,25,2020,2020-04-30,4,Apr
17,22,2020,2020-05-31,5,May
18,25,2020,2020-06-30,6,Jun
19,26,2020,2020-07-31,7,Jul
20,24,2020,2020-08-31,8,Aug
21,26,2020,2020-09-30,9,Sep
22,26,2020,2020-10-31,10,Oct
23,25,2020,2020-11-30,11,Nov
24,26,2020,2020-12-31,12,Dec
25,25,2021,2021-01-31,1,Jan
26,23,2021,2021-02-28,2,Feb
27,26,2021,2021-03-31,3,Mar
28,25,2021,2021-04-30,4,Apr
29,22,2021,2021-05-31,5,May
30,25,2021,2021-06-30,6,Jun
31,26,2021,2021-07-31,7,Jul
32,24,2021,2021-08-31,8,Aug
33,26,2021,2021-09-30,9,Sep
34,25,2021,2021-10-31,10,Oct
35,26,2021,2021-11-30,11,Nov
36,26,2021,2021-12-31,12,Dec
37,25,2022,2022-01-31,1,Jan
38,22,2022,2022-02-28,2,Feb
39,26,2022,2022-03-31,3,Mar
40,25,2022,2022-04-30,4,Apr
41,22,2022,2022-05-31,5,May
42,25,2022,2022-06-30,6,Jun
43,24,2022,2022-07-31,7,Jul
44,26,2022,2022-08-31,8,Aug
45,26,2022,2022-09-30,9,Sep
46,25,2022,2022-10-31,10,Oct
47,26,2022,2022-11-30,11,Nov
48,27,2022,2022-12-31,12,Dec
49,26,2023,2023-01-31,1,Jan
50,23,2023,2023-02-28,2,Feb
51,26,2023,2023-03-31,3,Mar
52,23,2023,2023-04-30,4,Apr
53,25,2023,2023-05-31,5,May
54,24,2023,2023-06-30,6,Jun
55,25,2023,2023-07-31,7,Jul
56,26,2023,2023-08-31,8,Aug
57,25,2023,2023-09-30,9,Sep
58,26,2023,2023-10-31,10,Oct
59,26,2023,2023-11-30,11,Nov
60,25,2023,2023-12-31,12,Dec
61,26,2024,2024-01-31,1,Jan
62,22,2024,2024-02-29,2,Feb
63,24,2024,2024-03-31,3,Mar
64,24,2024,2024-04-30,4,Apr
65,24,2024,2024-05-31,5,May
66,23,2024,2024-06-30,6,Jun
67,27,2024,2024-07-31,7,Jul
68,26,2024,2024-08-31,8,Aug
69,24,2024,2024-09-30,9,Sep
70,27,2024,2024-10-31,10,Oct
71,26,2024,2024-11-30,11,Nov
72,25,2024,2024-12-31,12,Dec
73,24,2025,2025-01-31,1,Jan
74,24,2025,2025-02-28,2,Feb
75,24,2025,2025-03-31,3,Mar
76,24,2025,2025-04-30,4,Apr
77,24,2025,2025-05-31,5,May
78,23,2025,2025-06-30,6,Jun
79,27,2025,2025-07-31,7,Jul
80,26,2025,2025-08-31,8,Aug
81,25,2025,2025-09-30,9,Sep
82,27,2025,2025-10-31,10,Oct
83,25,2025,2025-11-30,11,Nov
84,26,2025,2025-12-31,12,Dec
